Latitude (decimal degrees):	53.483
Longitude (decimal degrees):	-2.242
Elevation (m):	55
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	3.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,8.6,4.62,0.0
20230101:0111,0.0,0.0,0.0,8.36,5.17,0.0
20230101:0211,0.0,0.0,0.0,7.91,6.34,0.0
20230101:0311,0.0,0.0,0.0,7.54,5.93,0.0
20230101:0411,0.0,0.0,0.0,7.39,5.66,0.0
20230101:0511,0.0,0.0,0.0,7.15,5.38,0.0
20230101:0611,0.0,0.0,0.0,6.96,5.1,0.0
20230101:0711,0.0,0.0,0.0,6.89,4.83,0.0
20230101:0811,0.0,0.0,0.0,6.9,5.17,0.0
20230101:0911,3.45,8.34,4.07,7.13,5.24,0.0
20230101:1011,254.46,113.27,9.13,7.6,5.31,0.0
20230101:1111,1162.14,457.29,12.36,8.32,6.0,0.0
20230101:1211,785.82,312.14,13.51,8.82,6.62,0.0
20230101:1311,678.69,272.76,12.46,9.12,5.72,0.0
20230101:1411,111.42,58.49,9.31,9.1,5.66,0.0
20230101:1511,58.23,36.12,4.32,8.53,5.03,0.0
20230101:1611,0.0,0.0,0.0,8.0,4.48,0.0
20230101:1711,0.0,0.0,0.0,7.63,4.34,0.0
20230101:1811,0.0,0.0,0.0,7.54,4.14,0.0
20230101:1911,0.0,0.0,0.0,7.57,3.38,0.0
20230101:2011,0.0,0.0,0.0,7.4,3.17,0.0
20230101:2111,0.0,0.0,0.0,6.97,3.31,0.0
20230101:2211,0.0,0.0,0.0,6.76,3.38,0.0
20230101:2311,0.0,0.0,0.0,6.42,3.31,0.0
20230102:0011,0.0,0.0,0.0,6.21,3.03,0.0
20230102:0111,0.0,0.0,0.0,6.03,2.69,0.0
20230102:0211,0.0,0.0,0.0,5.83,2.55,0.0
20230102:0311,0.0,0.0,0.0,5.15,2.48,0.0
20230102:0411,0.0,0.0,0.0,4.3,2.55,0.0
20230102:0511,0.0,0.0,0.0,4.05,2.62,0.0
20230102:0611,0.0,0.0,0.0,3.82,2.55,0.0
20230102:0711,0.0,0.0,0.0,3.27,2.41,0.0
20230102:0811,0.0,0.0,0.0,2.96,2.34,0.0
20230102:0911,419.04,174.75,4.1,2.92,2.14,0.0
20230102:1011,1098.93,434.62,9.18,3.71,1.86,0.0
20230102:1111,1445.34,577.66,12.43,4.79,2.28,0.0
20230102:1211,1316.91,519.86,13.59,5.51,3.45,0.0
20230102:1311,279.93,122.31,12.56,5.62,3.45,0.0
20230102:1411,357.36,151.08,9.42,5.71,3.17,0.0
20230102:1511,538.95,221.71,4.44,5.24,2.34,0.0
20230102:1611,0.0,0.0,0.0,4.28,2.07,0.0
20230102:1711,0.0,0.0,0.0,3.25,2.14,0.0
