Latitude (decimal degrees):	50.373
Longitude (decimal degrees):	-4.143
Elevation (m):	15
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	1.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0010,0.0,0.0,0.0,10.98,11.31,0.0
20230101:0110,0.0,0.0,0.0,10.65,12.0,0.0
20230101:0210,0.0,0.0,0.0,10.23,11.79,0.0
20230101:0310,0.0,0.0,0.0,10.12,11.1,0.0
20230101:0410,0.0,0.0,0.0,10.49,10.41,0.0
20230101:0510,0.0,0.0,0.0,10.86,11.17,0.0
20230101:0610,0.0,0.0,0.0,11.04,11.93,0.0
20230101:0710,0.0,0.0,0.0,11.15,11.45,0.0
20230101:0810,0.0,0.0,0.0,11.2,10.69,0.0
20230101:0910,108.06,142.34,5.58,11.28,10.34,0.0
20230101:1010,116.36,150.69,11.26,11.36,8.55,0.0
20230101:1110,90.99,122.33,15.04,11.43,8.14,0.0
20230101:1210,62.38,89.44,16.59,11.28,8.97,0.0
20230101:1310,70.65,99.01,15.76,11.36,8.83,0.0
20230101:1410,40.32,62.96,12.62,11.26,7.66,0.0
20230101:1510,26.9,46.08,7.48,10.81,7.03,0.0
20230101:1610,0.0,0.0,0.0,10.08,6.76,0.0
20230101:1710,0.0,0.0,0.0,9.59,6.14,0.0
20230101:1810,0.0,0.0,0.0,9.22,5.45,0.0
20230101:1910,0.0,0.0,0.0,9.15,5.03,0.0
20230101:2010,0.0,0.0,0.0,9.26,5.45,0.0
20230101:2110,0.0,0.0,0.0,9.41,6.41,0.0
20230101:2210,0.0,0.0,0.0,9.82,6.48,0.0
20230101:2310,0.0,0.0,0.0,9.72,6.62,0.0
20230102:0010,0.0,0.0,0.0,9.52,6.9,0.0
20230102:0110,0.0,0.0,0.0,9.36,6.28,0.0
20230102:0210,0.0,0.0,0.0,9.04,5.59,0.0
20230102:0310,0.0,0.0,0.0,8.8,5.72,0.0
20230102:0410,0.0,0.0,0.0,8.36,5.38,0.0
20230102:0510,0.0,0.0,0.0,8.0,4.97,0.0
20230102:0610,0.0,0.0,0.0,7.64,4.41,0.0
20230102:0710,0.0,0.0,0.0,7.31,3.66,0.0
20230102:0810,0.0,0.0,0.0,7.13,3.17,0.0
20230102:0910,94.03,124.94,5.61,6.93,2.62,0.0
20230102:1010,351.54,421.9,11.31,7.47,2.62,0.0
20230102:1110,485.15,592.71,15.11,8.19,2.21,0.0
20230102:1210,523.3,646.69,16.67,8.68,2.0,0.0
20230102:1310,467.79,576.54,15.86,8.89,1.52,0.0
20230102:1410,384.26,470.86,12.74,9.07,1.17,0.0
20230102:1510,193.47,241.48,7.6,9.0,0.76,0.0
20230102:1610,0.0,0.0,0.0,8.61,1.66,0.0
20230102:1710,0.0,0.0,0.0,8.2,2.07,0.0
20230102:1810,0.0,0.0,0.0,8.59,2.48,0.0
20230102:1910,0.0,0.0,0.0,8.68,2.83,0.0
20230102:2010,0.0,0.0,0.0,8.97,3.31,0.0
20230102:2110,0.0,0.0,0.0,9.1,3.86,0.0
20230102:2210,0.0,0.0,0.0,9.39,4.62,0.0
20230102:2310,0.0,0.0,0.0,9.6,5.59,0.0
20230103:0010,0.0,0.0,0.0,9.99,7.45,0.0
20230103:0110,0.0,0.0,0.0,9.93,7.86,0.0
20230103:0210,0.0,0.0,0.0,10.0,8.62,0.0
20230103:0310,0.0,0.0,0.0,10.21,8.97,0.0
20230103:0410,0.0,0.0,0.0,10.92,10.76,0.0
20230103:0510,0.0,0.0,0.0,11.03,11.93,0.0
20230103:0610,0.0,0.0,0.0,10.9,12.34,0.0
20230103:0710,0.0,0.0,0.0,11.1,11.45,0.0
20230103:0810,0.0,0.0,0.0,11.05,11.66,0.0
20230103:0910,5.67,16.69,5.65,11.29,12.34,0.0
20230103:1010,54.38,79.68,11.36,11.58,11.72,0.0
20230103:1110,41.01,63.97,15.18,11.83,11.72,0.0
20230103:1210,52.52,77.88,16.76,11.81,12.69,0.0
20230103:1310,47.9,72.31,15.96,11.83,13.72,0.0
20230103:1410,34.99,56.55,12.86,11.94,12.83,0.0
20230103:1510,7.98,20.4,7.73,12.12,11.86,0.0
20230103:1610,0.0,0.0,0.0,12.18,11.79,0.0
20230103:1710,0.0,0.0,0.0,12.28,12.62,0.0
20230103:1810,0.0,0.0,0.0,12.28,12.55,0.0
20230103:1910,0.0,0.0,0.0,12.26,12.28,0.0
20230103:2010,0.0,0.0,0.0,12.19,11.93,0.0
20230103:2110,0.0,0.0,0.0,12.12,11.79,0.0
20230103:2210,0.0,0.0,0.0,12.08,11.72,0.0
20230103:2310,0.0,0.0,0.0,12.08,11.59,0.0
20230104:0010,0.0,0.0,0.0,12.16,12.0,0.0
20230104:0110,0.0,0.0,0.0,12.33,12.28,0.0
20230104:0210,0.0,0.0,0.0,12.52,12.55,0.0
20230104:0310,0.0,0.0,0.0,12.6,12.34,0.0
20230104:0410,0.0,0.0,0.0,12.57,11.72,0.0
20230104:0510,0.0,0.0,0.0,12.65,11.45,0.0
20230104:0610,0.0,0.0,0.0,12.54,11.52,0.0
20230104:0710,0.0,0.0,0.0,12.44,11.59,0.0
20230104:0810,0.0,0.0,0.0,12.48,11.72,0.0
20230104:0910,14.41,29.78,5.69,12.43,11.38,0.0
20230104:1010,78.74,108.17,11.42,12.05,10.69,0.0
20230104:1110,104.75,138.11,15.26,12.04,10.14,0.0
20230104:1210,31.23,51.92,16.86,12.1,9.59,0.0
20230104:1310,119.47,154.86,16.08,12.11,9.79,0.0
20230104:1410,156.11,195.74,12.98,12.14,9.86,0.0
20230104:1510,143.31,182.0,7.86,12.0,9.72,0.0
20230104:1610,0.0,0.0,0.0,11.88,9.66,0.0
20230104:1710,0.0,0.0,0.0,11.76,9.66,0.0
20230104:1810,0.0,0.0,0.0,11.63,8.97,0.0
20230104:1910,0.0,0.0,0.0,11.52,8.48,0.0
20230104:2010,0.0,0.0,0.0,11.48,8.48,0.0
20230104:2110,0.0,0.0,0.0,11.42,8.21,0.0
20230104:2210,0.0,0.0,0.0,11.21,7.93,0.0
20230104:2310,0.0,0.0,0.0,11.08,7.52,0.0
20230105:0010,0.0,0.0,0.0,11.07,7.24,0.0
20230105:0110,0.0,0.0,0.0,11.21,7.17,0.0
20230105:0210,0.0,0.0,0.0,11.31,6.97,0.0
20230105:0310,0.0,0.0,0.0,11.31,7.45,0.0
20230105:0410,0.0,0.0,0.0,11.44,8.0,0.0
20230105:0510,0.0,0.0,0.0,11.61,7.59,0.0
20230105:0610,0.0,0.0,0.0,11.53,7.24,0.0
20230105:0710,0.0,0.0,0.0,11.36,7.38,0.0
20230105:0810,0.0,0.0,0.0,11.3,7.72,0.0
20230105:0910,2.97,12.05,5.74,11.39,8.0,0.0
20230105:1010,55.69,81.4,11.49,11.8,9.03,0.0
20230105:1110,123.39,159.1,15.34,11.87,9.24,0.0
20230105:1210,280.09,335.42,16.97,11.86,9.79,0.0
20230105:1310,112.46,146.83,16.2,11.92,10.14,0.0
20230105:1410,34.99,56.55,13.12,11.77,10.07,0.0
20230105:1510,23.41,41.76,8.0,11.7,10.48,0.0
20230105:1610,0.0,0.0,0.0,11.64,10.62,0.0
20230105:1710,0.0,0.0,0.0,11.69,10.76,0.0
20230105:1810,0.0,0.0,0.0,11.77,11.03,0.0
20230105:1910,0.0,0.0,0.0,11.74,11.72,0.0
20230105:2010,0.0,0.0,0.0,11.67,11.93,0.0
20230105:2110,0.0,0.0,0.0,11.77,12.62,0.0
20230105:2210,0.0,0.0,0.0,11.47,12.21,0.0
20230105:2310,0.0,0.0,0.0,10.96,9.03,0.0
20230106:0010,0.0,0.0,0.0,10.39,7.45,0.0
20230106:0110,0.0,0.0,0.0,9.91,6.97,0.0
20230106:0210,0.0,0.0,0.0,9.71,6.07,0.0
20230106:0310,0.0,0.0,0.0,9.67,5.59,0.0
20230106:0410,0.0,0.0,0.0,9.65,5.24,0.0
20230106:0510,0.0,0.0,0.0,9.65,4.97,0.0
20230106:0610,0.0,0.0,0.0,9.67,4.69,0.0
20230106:0710,0.0,0.0,0.0,9.74,4.83,0.0
20230106:0810,0.0,0.0,0.0,10.02,5.79,0.0
20230106:0910,16.66,32.67,5.79,10.34,6.69,0.0
20230106:1010,126.86,162.57,11.56,10.73,6.07,0.0
20230106:1110,75.19,104.28,15.44,11.08,6.55,0.0
20230106:1210,88.71,119.94,17.08,11.27,7.66,0.0
20230106:1310,110.06,144.19,16.33,11.62,8.34,0.0
20230106:1410,72.95,101.51,13.26,11.55,9.03,0.0
20230106:1510,3.47,12.98,8.15,11.83,10.28,0.0
20230106:1610,0.0,0.0,0.0,12.03,10.83,0.0
20230106:1710,0.0,0.0,0.0,11.99,11.03,0.0
20230106:1810,0.0,0.0,0.0,12.09,11.59,0.0
20230106:1910,0.0,0.0,0.0,12.19,12.34,0.0
20230106:2010,0.0,0.0,0.0,12.22,12.69,0.0
20230106:2110,0.0,0.0,0.0,12.19,13.03,0.0
20230106:2210,0.0,0.0,0.0,12.11,12.83,0.0
20230106:2310,0.0,0.0,0.0,12.09,12.9,0.0
20230107:0010,0.0,0.0,0.0,12.06,13.59,0.0
20230107:0110,0.0,0.0,0.0,11.96,14.48,0.0
20230107:0210,0.0,0.0,0.0,11.85,14.83,0.0
20230107:0310,0.0,0.0,0.0,11.85,14.69,0.0
20230107:0410,0.0,0.0,0.0,11.81,14.55,0.0
20230107:0510,0.0,0.0,0.0,11.77,14.28,0.0
20230107:0610,0.0,0.0,0.0,11.66,12.69,0.0
20230107:0710,0.0,0.0,0.0,11.69,10.9,0.0
20230107:0810,0.0,0.0,0.0,11.18,10.07,0.0
20230107:0910,82.64,112.85,5.85,10.79,10.34,0.0
20230107:1010,18.49,35.23,11.64,11.08,8.41,0.0
20230107:1110,434.8,514.02,15.54,11.06,9.38,0.0
20230107:1210,34.54,55.63,17.2,10.13,10.34,0.0
20230107:1310,118.73,152.51,16.46,9.9,11.31,0.0
20230107:1410,176.86,215.55,13.4,9.03,12.76,0.0
20230107:1510,25.09,43.48,8.3,9.09,12.41,0.0
20230107:1610,0.0,0.0,0.0,9.5,11.93,0.0
20230107:1710,0.0,0.0,0.0,9.92,12.07,0.0
20230107:1810,0.0,0.0,0.0,10.25,12.69,0.0
20230107:1910,0.0,0.0,0.0,9.9,12.9,0.0
20230107:2010,0.0,0.0,0.0,9.63,12.21,0.0
20230107:2110,0.0,0.0,0.0,9.65,11.79,0.0
20230107:2210,0.0,0.0,0.0,9.39,10.34,0.0
20230107:2310,0.0,0.0,0.0,9.11,11.59,0.0
20230108:0010,0.0,0.0,0.0,8.97,12.28,0.0
20230108:0110,0.0,0.0,0.0,8.9,11.86,0.0
20230108:0210,0.0,0.0,0.0,8.77,10.9,0.0
20230108:0310,0.0,0.0,0.0,8.78,9.45,0.0
20230108:0410,0.0,0.0,0.0,8.66,8.9,0.0
20230108:0510,0.0,0.0,0.0,8.64,9.38,0.0
20230108:0610,0.0,0.0,0.0,8.76,9.86,0.0
20230108:0710,0.0,0.0,0.0,8.91,11.93,0.0
20230108:0810,0.0,0.0,0.0,8.71,11.45,0.0
20230108:0910,0.0,5.56,5.92,8.64,12.14,0.0
20230108:1010,148.19,184.24,11.73,8.86,10.55,0.0
20230108:1110,105.18,136.71,15.65,8.68,10.97,0.0
20230108:1210,18.08,34.3,17.33,8.24,10.41,0.0
20230108:1310,322.51,376.98,16.61,8.07,10.48,0.0
20230108:1410,135.86,170.4,13.56,8.53,10.41,0.0
20230108:1510,254.3,303.8,8.46,8.79,10.0,0.0
20230108:1610,0.0,2.78,1.72,9.1,10.55,0.0
20230108:1710,0.0,0.0,0.0,9.3,11.24,0.0
20230108:1810,0.0,0.0,0.0,9.02,12.55,0.0
20230108:1910,0.0,0.0,0.0,9.39,12.69,0.0
20230108:2010,0.0,0.0,0.0,9.35,13.59,0.0
20230108:2110,0.0,0.0,0.0,8.98,13.45,0.0
20230108:2210,0.0,0.0,0.0,8.89,10.14,0.0
20230108:2310,0.0,0.0,0.0,8.64,11.38,0.0
20230109:0010,0.0,0.0,0.0,8.68,10.9,0.0
20230109:0110,0.0,0.0,0.0,8.42,11.17,0.0
20230109:0210,0.0,0.0,0.0,7.88,11.93,0.0
20230109:0310,0.0,0.0,0.0,7.93,11.79,0.0
20230109:0410,0.0,0.0,0.0,8.34,11.86,0.0
20230109:0510,0.0,0.0,0.0,8.67,12.41,0.0
20230109:0610,0.0,0.0,0.0,8.77,12.69,0.0
20230109:0710,0.0,0.0,0.0,8.79,12.62,0.0
20230109:0810,0.0,0.0,0.0,8.64,12.21,0.0
20230109:0910,113.62,146.78,6.0,8.27,11.72,0.0
20230109:1010,99.13,129.34,11.83,8.17,11.45,0.0
20230109:1110,11.3,25.03,15.76,8.66,11.52,0.0
20230109:1210,367.7,428.12,17.46,8.58,11.72,0.0
