Latitude (decimal degrees):	55.829
Longitude (decimal degrees):	-4.276
Elevation (m):	26
Radiation database:	PVGIS-SARAH3


Slope: 35 deg. 
Azimuth: 0 deg. 
Nominal power of the PV system (c-Si) (kWp):	2.0
System losses (%):	14.0
time,P,G(i),H_sun,T2m,WS10m,Int
20230101:0011,0.0,0.0,0.0,1.44,3.79,0.0
20230101:0111,0.0,0.0,0.0,1.39,3.45,0.0
20230101:0211,0.0,0.0,0.0,1.33,3.17,0.0
20230101:0311,0.0,0.0,0.0,1.25,2.69,0.0
20230101:0411,0.0,0.0,0.0,1.16,2.28,0.0
20230101:0511,0.0,0.0,0.0,1.14,1.79,0.0
20230101:0611,0.0,0.0,0.0,1.19,1.66,0.0
20230101:0711,0.0,0.0,0.0,2.49,1.03,0.0
20230101:0811,0.0,0.0,0.0,2.46,0.83,0.0
20230101:0911,0.0,2.62,1.55,2.64,0.55,0.0
20230101:1011,81.16,61.26,6.52,3.05,0.34,0.0
20230101:1111,229.36,145.64,9.8,3.52,0.14,0.0
20230101:1211,148.46,100.49,11.14,4.24,0.9,0.0
20230101:1311,73.82,57.43,10.43,4.39,0.69,0.0
20230101:1411,134.92,92.81,7.73,4.8,0.97,0.0
20230101:1511,10.6,15.74,3.25,4.53,0.9,0.0
20230101:1611,0.0,0.0,0.0,3.97,1.17,0.0
20230101:1711,0.0,0.0,0.0,3.24,1.24,0.0
20230101:1811,0.0,0.0,0.0,2.87,1.17,0.0
20230101:1911,0.0,0.0,0.0,1.96,1.31,0.0
20230101:2011,0.0,0.0,0.0,1.04,1.38,0.0
20230101:2111,0.0,0.0,0.0,-0.16,1.59,0.0
20230101:2211,0.0,0.0,0.0,-0.94,1.52,0.0
20230101:2311,0.0,0.0,0.0,-1.65,1.52,0.0
20230102:0011,0.0,0.0,0.0,-2.18,1.59,0.0
20230102:0111,0.0,0.0,0.0,-2.81,1.72,0.0
20230102:0211,0.0,0.0,0.0,-3.35,1.79,0.0
20230102:0311,0.0,0.0,0.0,-3.64,1.86,0.0
20230102:0411,0.0,0.0,0.0,-3.89,1.93,0.0
20230102:0511,0.0,0.0,0.0,-4.02,1.86,0.0
20230102:0611,0.0,0.0,0.0,-3.95,1.72,0.0
20230102:0711,0.0,0.0,0.0,-3.36,2.0,0.0
20230102:0811,0.0,0.0,0.0,-3.22,2.0,0.0
20230102:0911,0.0,2.62,1.58,-3.04,2.0,0.0
20230102:1011,291.08,175.72,6.57,-1.77,1.72,0.0
20230102:1111,789.92,461.23,9.86,0.26,1.66,0.0
20230102:1211,520.76,306.24,11.22,2.29,2.0,0.0
20230102:1311,124.34,86.4,10.53,3.7,2.48,0.0
20230102:1411,626.9,370.15,7.84,3.95,2.48,0.0
20230102:1511,10.68,15.74,3.37,3.25,2.21,0.0
20230102:1611,0.0,0.0,0.0,2.32,2.21,0.0
20230102:1711,0.0,0.0,0.0,1.19,2.21,0.0
20230102:1811,0.0,0.0,0.0,0.54,2.28,0.0
20230102:1911,0.0,0.0,0.0,0.77,2.48,0.0
20230102:2011,0.0,0.0,0.0,0.5,2.48,0.0
20230102:2111,0.0,0.0,0.0,0.01,2.41,0.0
20230102:2211,0.0,0.0,0.0,-0.13,2.48,0.0
20230102:2311,0.0,0.0,0.0,-0.03,2.55,0.0
20230103:0011,0.0,0.0,0.0,0.19,2.69,0.0
20230103:0111,0.0,0.0,0.0,0.66,2.9,0.0
20230103:0211,0.0,0.0,0.0,1.39,3.17,0.0
20230103:0311,0.0,0.0,0.0,2.06,3.66,0.0
20230103:0411,0.0,0.0,0.0,2.44,4.07,0.0
20230103:0511,0.0,0.0,0.0,2.49,4.28,0.0
20230103:0611,0.0,0.0,0.0,2.32,4.48,0.0
20230103:0711,0.0,0.0,0.0,3.63,5.31,0.0
20230103:0811,0.0,0.0,0.0,4.11,5.66,0.0
20230103:0911,0.0,2.62,1.63,4.93,5.17,0.0
20230103:1011,127.64,88.82,6.62,6.25,4.41,0.0
20230103:1111,127.44,89.25,9.94,7.44,4.28,0.0
20230103:1211,63.58,51.92,11.31,8.15,4.21,0.0
20230103:1311,16.32,20.4,10.63,8.17,4.07,0.0
20230103:1411,75.54,58.95,7.95,8.13,4.14,0.0
20230103:1511,2.66,8.74,3.49,7.93,3.72,0.0
20230103:1611,0.0,0.0,0.0,7.62,2.76,0.0
20230103:1711,0.0,0.0,0.0,7.5,2.76,0.0
20230103:1811,0.0,0.0,0.0,7.33,2.34,0.0
20230103:1911,0.0,0.0,0.0,8.01,2.21,0.0
20230103:2011,0.0,0.0,0.0,8.3,2.14,0.0
20230103:2111,0.0,0.0,0.0,8.68,2.76,0.0
20230103:2211,0.0,0.0,0.0,9.03,3.24,0.0
20230103:2311,0.0,0.0,0.0,9.47,4.21,0.0
20230104:0011,0.0,0.0,0.0,10.01,6.34,0.0
20230104:0111,0.0,0.0,0.0,10.48,8.76,0.0
20230104:0211,0.0,0.0,0.0,10.12,8.07,0.0
20230104:0311,0.0,0.0,0.0,9.67,7.72,0.0
20230104:0411,0.0,0.0,0.0,9.6,8.0,0.0
20230104:0511,0.0,0.0,0.0,9.52,7.72,0.0
20230104:0611,0.0,0.0,0.0,9.36,7.1,0.0
